openlibrary_id,title,authors,first_publish_year,subjects,edition_count,work_key,cover_id,type,genre,summary
OL11656873W,A princess of Landover,Terry Brooks,2009.0,"Magic Kingdom of Landover (Imaginary place), Fiction, Fantasy, Ben Holiday (Fictitious character), nyt:hardcover-fiction=2009-09-06, New York Times bestseller, Magic kingdom of landover (imaginary place), fiction, Fiction, fantasy, epic, Holiday, ben (fictitious character), fiction",9,/works/OL11656873W,7109923.0,fiction,Fantasy,
OL11656885W,The gypsy morph,"Terry Brooks, Phil Gigante",2008.0,"Fiction, Shannara (Imaginary place), Elves, Magic, Regression (Civilization), Twenty-first century, Imaginary wars and battles, Good and evil, Fantasy, Large type books, nyt:hardcover-fiction=2008-09-14, New York Times bestseller, Shannara (imaginary place), fiction, Fiction, fantasy, general",5,/works/OL11656885W,6991646.0,fiction,Fantasy,
OL11690073W,Starclimber,Kenneth Oppel,2008.0,"Science Fiction, Adventure and adventurers, Juvenile Fiction, Fiction, Fantasy, Interpersonal relations, Exploration, Airships, Outer space, Juvenile fiction, Adventure stories, Children's fiction, Outer space, fiction, Adventure and adventurers, fiction, Fantasy fiction, Interpersonal relations, fiction, Space flight, Exploration of outer space, Children's Books -- Authors & Illustrators, A-Z -- ( O ) -- Oppel, Kenneth, Teen fantasy fiction, Rejuvenation, Detective and mystery stories",15,/works/OL11690073W,6275010.0,fiction,Fantasy,
OL11728428W,Fire,Kristin Cashore,2009.0,"Juvenile Fiction, Fiction, Fantasy, Magic, Magia, Extrasensory perception, Ficción juvenil, Imaginary wars and battles, Percepción extrasensorial, Guerras imaginarias, Large type books, nyt:chapter-books=2009-10-25, New York Times bestseller, Children's fiction, Fantasy fiction, Magic, fiction, Extrasensory perception, fiction, Feminine beauty (Aesthetics), Merveilleux, Romans, nouvelles, etc. pour la jeunesse, Beauté corporelle",15,/works/OL11728428W,10193559.0,fiction,Fantasy,
OL11910082W,The Cabinet of Wonders,Marie Rutkoski,2008.0,"Magic, Princes, Fiction, Fantasy, Romanies, Juvenile fiction, Children's fiction, Romanies, fiction, Magic, fiction, Princes, fiction, Fantasy fiction, Large type books, Gypsies",4,/works/OL11910082W,6985918.0,fiction,Fantasy,
OL11937564W,The dead-tossed waves,Carrie Ryan,2010.0,"Horror stories, Fantasy, Fiction, Juvenile Fiction, Juvenile fiction, Zombies, Reading Level-Grade 7, Reading Level-Grade 9, Reading Level-Grade 8, Reading Level-Grade 11, Reading Level-Grade 10, Reading Level-Grade 12, Children's fiction, Fantasy fiction, Family life, fiction",3,/works/OL11937564W,6294324.0,fiction,Fantasy,
OL11937589W,Serendipity Market,Penny Blubaugh,2009.0,"Fiction, Characters in literature, Fairy tales, Magic, Storytelling, Fantasy, Folklore, Juvenile Fiction, Children's fiction, Magic, fiction, Storytelling, fiction",3,/works/OL11937589W,7101924.0,fiction,Fantasy,
OL119434W,Summerland,Michael Chabon,2002.0,"Magic, Fantasy fiction, Baseball stories, Fiction, Fantasy, Baseball, Adventure stories, Large type books, Fiction, fantasy, general, Fairies, New York Times reviewed, Children's fiction, Baseball, fiction, Magic, fiction, Fantasmes, Récits de base-ball, Child and youth fiction, Fiction, science fiction, general",26,/works/OL119434W,12745193.0,fiction,Fantasy,
OL119596W,Treasure at the Heart of the Tanglewood,Meredith Ann Pierce,2001.0,"Young adult fiction, Magic, Fantasy fiction, Juvenile fiction, Fiction, Fantasy, Wizards, Identity, Identity (Philosophical concept), Identity (Psychology), Reading Level-Grade 7, Reading Level-Grade 9, Reading Level-Grade 8, Reading Level-Grade 11, Reading Level-Grade 10, Reading Level-Grade 12, Children's fiction, Magic, fiction",3,/works/OL119596W,8283837.0,fiction,Fantasy,
OL119597W,Waters luminous and deep,Meredith Ann Pierce,2004.0,"Children's stories, American, Fantasy, Fairy tales, Short stories, Children's fiction, Science fiction, Children's stories, Fantasy fiction",3,/works/OL119597W,400758.0,fiction,Fantasy,
